Vendor,Model,OS,Kernel,CPP,Ver,JEM,Mem,Dimms,Size,Rank,Speed,Mfg,Gen,CPU,TDP,Cores,ACT,Chips,Cores,Threads,Score,URL,,,,,,,,,low(x),med(x),high(x)
Huawei,XH628 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,6240,150,18,3.3,2,36,72,217,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12474.html,,,,,,,,,,,
HPE,ProLiant BL460c Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,192,12,16,2Rx8,2933,Intel,CLX,6240,150,18,3.3,2,36,72,216,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11935.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,8280L,205,28,3.3,2,56,112,336,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190709-16063.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,6252N,150,24,3,2,48,96,262,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190709-16078.html,,,,,,,,,,,
Tyrone,DIT400TR-48RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,216,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200218-20958.html,,,,,,,,,,,
Tyrone,DIT400TR-55R/55RL,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,214,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200218-20996.html,,,,,,,,,,,
Dell,PowerEdge R740xd,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8260,165,24,3.1,2,48,96,271,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190401-11571.html,,,,,,,,,,,
Huawei,XH628 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,8260,165,24,3.1,2,48,96,271,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12752.html,,,,,,,,,,,
Lenovo,ThinkSystem SN550,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2666,Intel,CLX,6242,150,16,3.5,2,32,64,204,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13956.html,,,,,,,,,,,
Primergy,RX2530 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,8268,205,24,3.5,2,48,96,306,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190426-12362.html,,,,,,,,,,,
HPE,ProLiant ML350 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,8268,205,24,3.5,2,48,96,306,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11892.html,,,,,,,,,,,
Dell,PowerEdge R740,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6242,150,16,3.5,2,32,64,204,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190401-11581.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,8268,205,24,3.5,2,48,96,306,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190404-11700.html,,,,,,,,,,,
Tyrone,DS400TN-28/R/T,CentOS Linux 7 (Core),3.10.0-1062.el7.x86_64,Intel C/C++,19.0.4.243,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,213,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191108-19536.html,,,,,,,,,,,
Huawei,XH321 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,210,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12725.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6248R,205,24,3.6,2,48,96,312,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200303-21201.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,5218N,110,16,3,2,32,64,175,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-13034.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,5218N,110,16,3,2,32,64,175,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15513.html,,,,,,,,,,,
Gigabyte,29TP-HTR,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,768,12,64,2Rx4,2933,Intel,CLX,5218N,110,16,3,2,32,64,175,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-14908.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280M,205,28,3.3,2,56,112,337,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190625-15893.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-25.25-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6248R,205,24,3.6,2,48,96,311,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200303-21149.html,,,,,,,,,,,
Dell,PowerEdge R740xd,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,6248R,205,24,3.6,2,48,96,309,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200203-20817.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6240M,150,18,3.3,2,36,72,217,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18213.html,,,,,,,,,,,
Dell,PowerEdge FC640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,6238T,125,22,2.7,2,44,88,217,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14526.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,8270,205,26,3.4,2,52,104,323,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14794.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,8268,205,24,3.5,2,48,96,307,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13503.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8268,205,24,3.5,2,48,96,307,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190514-14080.html,,,,,,,,,,,
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,12,32,2Rx4,2933,Intel,CLX,8268,205,24,3.5,2,48,96,307,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14653.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,8276L,165,28,3,2,56,112,307,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190819-17076.html,,,,,,,,,,,
Dell,PowerEdge R740xd,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,5218R,125,20,2.9,2,40,80,212,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200203-20827.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,8260M,165,24,3.1,2,48,96,272,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190430-13272.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,6248R,205,24,3.6,2,48,96,309,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200217-20899.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6242R,205,20,3.8,2,40,80,278,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200303-21193.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,6242R,205,20,3.8,2,40,80,278,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200302-21075.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8280,205,28,3.3,2,56,112,338,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190319-11331.html,,,,,,,,,,,
HPE,Synergy 480 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,6246,165,12,4.1,2,24,48,180,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15621.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,6246,165,12,4.1,2,24,48,180,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190723-16382.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6246,165,12,4.1,2,24,48,180,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190903-17609.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,257,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190930-18890.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx8,2933,Intel,CLX,6254,200,18,3.9,2,36,72,257,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15599.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6226R,150,16,3.6,2,32,64,211,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200302-21060.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,5218N,110,16,3,2,32,64,176,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-17937.html,,,,,,,,,,,
Lenovo,ThinkSystem ST550,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,5218N,110,16,3,2,32,64,176,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-13134.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6252N,150,24,3,2,48,96,264,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18216.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280,205,28,3.3,2,56,112,339,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191111-19791.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280L,205,28,3.3,2,56,112,339,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190930-18785.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8280L,205,28,3.3,2,56,112,339,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15579.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15 SP1,4.12.14-195-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,6248R,205,24,3.6,2,48,96,309,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200302-21085.html,,,,,,,,,,,
ASUS,ESC8000 G4(Z11PG-D24) Server System,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,266,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190625-15884.html,,,,,,,,,,,
Dell,PowerEdge FC640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6240M,150,18,3.3,2,36,72,218,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-14987.html,,,,,,,,,,,
Lenovo,ThinkSystem SR570,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6240L,150,18,3.3,2,36,72,218,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190916-18212.html,,,,,,,,,,,
Dell,PowerEdge M640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,6238T,125,22,2.7,2,44,88,218,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14532.html,,,,,,,,,,,
Inspur,NF5280M5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.4.227,5.0.1,384,24,16,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,253,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191119-19903.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,252,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190806-16738.html,,,,,,,,,,,
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,251,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190805-16628.html,,,,,,,,,,,
Lenovo,ThinkSystem SN550,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel,19.0.4.227,,384,24,16,2Rx8,2933,Intel,CLX,6248,150,20,3.2,2,40,80,250,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190926-18565.html,,,,,,,,,,,
Lenovo,ThinkSystem SN550,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel,19.0.4.227,,384,24,16,2Rx8,2666,Intel,CLX,6248,150,20,3.2,2,40,80,249,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-14948.html,,,,,,,,,,,
Lenovo,ThinkSystem SR530,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,6230N,125,20,2.9,2,40,80,213,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190902-17580.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8270,205,26,3.4,2,52,104,325,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190524-14458.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,8268,205,24,3.5,2,48,96,309,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190524-14407.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,309,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190926-18629.html,,,,,,,,,,,
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,8276M,165,28,3,2,56,112,309,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191028-19288.html,,,,,,,,,,,
Cisco,UCS C220 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6246,165,12,4.1,2,24,48,181,http://spec.org/cpu2017/results/res2019q4/cpu2017-20190915-17855.html,,,,,,,,,,,
Dell,PowerEdge C6420,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,6246,165,12,4.1,2,24,48,181,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13652.html,,,,,,,,,,,
Dell,PowerEdge R740xd,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6246,165,12,4.1,2,24,48,181,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-15953.html,,,,,,,,,,,
Primergy,RX2540 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,249,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190426-12379.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise High Performance Computing 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,8280,205,28,3.3,2,56,112,340,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190319-11476.html,,,,,,,,,,,
HPE,ProLiant DL360 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,8260L,165,24,3.1,2,48,96,274,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-15051.html,,,,,,,,,,,
Huawei,5288 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8260L,165,24,3.1,2,48,96,274,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12629.html,,,,,,,,,,,
Lenovo,ThinkSystem SR630,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,6248,150,20,3.2,2,40,80,248,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13729.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,248,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190514-14060.html,,,,,,,,,,,
Dell,PowerEdge R740,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,247,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11990.html,,,,,,,,,,,
Dell,PowerEdge C6420,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,6248,150,20,3.2,2,40,80,247,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13601.html,,,,,,,,,,,
Lenovo,ThinkSystem SR590,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,6240Y,150,18,3.3,2,36,72,219,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13766.html,,,,,,,,,,,
Lenovo,ThinkSystem SD530,SUSE Linux Enterprise Server 15,4.12.14-25.13-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,6240Y,150,18,3.3,2,36,72,219,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14815.html,,,,,,,,,,,
Lenovo,ThinkSystem SR590,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,192,12,16,2Rx8,2933,Intel,CLX,6240L,150,18,3.3,2,36,72,219,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190819-16988.html,,,,,,,,,,,
Gigabyte,29TP-HTR,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,192,12,16,2Rx8,2933,Intel,CLX,6238T,125,22,2.7,2,44,88,219,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190319-11334.html,,,,,,,,,,,
Primergy,RX2530 M5,SUSE Linux Enterprise Server 15,4.12.14-25.28-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,247,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190416-12148.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6248,150,20,3.2,2,40,80,246,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-15924.html,,,,,,,,,,,
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,6254,200,18,3.9,2,36,72,259,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190610-14920.html,,,,,,,,,,,
Dell,PowerEdge M640,Ubuntu 18.04.2 LTS,4.15.0-62-generic,Intel C/C++,19.0.4.227,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,6230N,125,20,2.9,2,40,80,214,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191125-20088.html,,,,,,,,,,,
Gigabyte,49GP-TRT,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,8280,205,28,3.3,2,56,112,341,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-12079.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,8280L,205,28,3.3,2,56,112,341,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190819-16755.html,,,,,,,,,,,
HPE,ProLiant DL380 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276M,165,28,3,2,56,112,310,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190805-16567.html,,,,,,,,,,,
ASUS,ESC8000 G4(Z11PG-D24) Server System,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,42.1,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190826-17235.html,,,,,,,,,,,
HPE,ProLiant ML350 Gen10,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.2.187,,384,24,16,2Rx8,2933,Intel,CLX,8260L,165,24,3.1,2,48,96,275,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190513-13854.html,,,,,,,,,,,
Huawei,1288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8260L,165,24,3.1,2,48,96,275,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12621.html,,,,,,,,,,,
Huawei,CH121 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8260L,165,24,3.1,2,48,96,275,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12637.html,,,,,,,,,,,
Huawei,CH225 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8260L,165,24,3.1,2,48,96,275,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12645.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8260Y,165,24,3.1,2,48,96,275,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-13176.html,,,,,,,,,,,
