Vendor,Model,OS,Kernel,CPP,Ver,JEM,Mem,Dimms,Size,Rank,Speed,Mfg,Gen,CPU,TDP,Cores,ACT,Chips,Cores,Threads,Score,URL,,,,,,,,,low(x),med(x),high(x)
Lenovo,ThinkSystem SD650,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel,19.0.4.227,,384,12,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,234,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190624-15481.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,233,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191116-19863.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,8276,165,28,3,2,56,112,288,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190404-11715.html,,,,,,,,,,,
Cisco,UCS C240 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,232,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190625-15889.html,,,,,,,,,,,
Inspur,NF5180M5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2666,Intel,CLX,4210R,100,10,2.9,2,20,40,99.9,http://spec.org/cpu2017/results/res2020q1/cpu2017-20200203-20697.html,,,,,,,,,,,
Dell,PowerEdge R640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.3,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190415-11965.html,,,,,,,,,,,
Huawei,1288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276M,165,28,3,2,56,112,290,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12636.html,,,,,,,,,,,
Huawei,XH628 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,192,12,16,2Rx8,2933,Intel,CLX,8276L,165,28,3,2,56,112,290,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190429-12768.html,,,,,,,,,,,
Lenovo,ThinkSystem SR650,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.el7.x86_64,Intel C/C++,19.0.1.144,,768,24,32,2Rx4,2933,Intel,CLX,8276M,165,28,3,2,56,112,290,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14803.html,,,,,,,,,,,
Huawei,5288 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276M,165,28,3,2,56,112,291,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12644.html,,,,,,,,,,,
Huawei,CH121 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276M,165,28,3,2,56,112,291,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12652.html,,,,,,,,,,,
Huawei,CH225 V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,,384,24,16,2Rx8,2933,Intel,CLX,8276M,165,28,3,2,56,112,291,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12657.html,,,,,,,,,,,
Huawei,2288H V5,SUSE Linux Enterprise Server 12 SP4,4.12.14-94.41-default,Intel C/C++,19.0.1.144,5.0.1,384,24,16,2Rx8,2933,Intel,CLX,8276M,165,28,3,2,56,112,291,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190428-12684.html,,,,,,,,,,,
NEC,Express5800/R120h-2M,Red Hat Enterprise Linux Server 7.6 (Maipo),3.10.0-957.5.1.el7.x86_64,Intel C/C++,19.0.4.227,5.0.1,768,24,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,232,http://spec.org/cpu2017/results/res2019q4/cpu2017-20191011-18961.html,,,,,,,,,,,
Cisco,UCS B200 M5,SUSE Linux Enterprise Server 15,4.12.14-23-default,Intel C/C++,19.0.4.227,,768,24,32,2Rx4,2933,Intel,CLX,6240,150,18,3.3,2,36,72,231,http://spec.org/cpu2017/results/res2019q3/cpu2017-20190708-15918.html,,,,,,,,,,,
Dell,PowerEdge T640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx4,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.6,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190526-14508.html,,,,,,,,,,,
Dell,PowerEdge M640,Ubuntu 18.04.2 LTS,4.15.0-45-generic,Intel C/C++,19.0.1.144,5.0.1,384,12,32,2Rx8,2933,Intel,CLX,3204,85,6,1.9,2,12,12,39.6,http://spec.org/cpu2017/results/res2019q2/cpu2017-20190527-14527.html,,,,,,,,,,,
